Expression	Value	Location	Type	
g_tofDisplay	-1408	Memory:0x26d6	long	
g_averageTimeResultDown	2.05204258E+1	Memory:0x1ef6	double	
g_averageTimeResultUp	2.05218715E+1	Memory:0x1d62	double	
g_calibrateCorrectionFactor	1.0040353533	Memory:0x1d36	double	
g_averageTimeResultDown	2.05204258E+1	Memory:0x1ef6	double	
g_averageTimeResultUp	2.05218715E+1	Memory:0x1d62	double	
g_timeOfFlight	-1319	Memory:0x208e	long	
g_calibrateCorrectionFactor	1.0040353533	Memory:0x1d36	double	
g_tdcStatusRegister	17	Memory:0x1d30	unsigned int	
g_tdcStatusRegister	17	Memory:0x1d30	unsigned int	
g_PW1STValue	7.03125E-1	Memory:0x208a	double	
g_timeOfFlightBuffer	<array>	Memory:0x2096	long[100]	
tempValueBuffer	<array>	Memory:0x2226	long[100]	
g_averageTimeResultDown	2.05204258E+1	Memory:0x1ef6	double	
g_timeResultdown0	6.15612793E+1	Memory:0x1d46	double	
g_timeResultdown1	6.5536E+4	Memory:0x1d4a	double	
g_timeResultdown2	3.4185095211E+2	Memory:0x1d4e	double	
g_averageTimeResultUp	2.05218715E+1	Memory:0x1d62	double	
g_timeResultup0	6.15656128E+1	Memory:0x1d3a	double	
g_timeResultup1	6.5536E+4	Memory:0x1d3e	double	
g_timeResultup2	3.4185095211E+2	Memory:0x1d42	double	
tempDownValue	2.0520669933E+1	Memory:0x5bc8	double	
tempValueDownBuffer	<array>	Memory:0x2546	double[100]	
g_timeOfFlightDownBuffer	2.05204258E+1	Memory:0x1efa	<double>	
[0]	2.05204258E+1	Memory:0x1efa	double	
[1]	2.0520874022E+1	Memory:0x1efe	double	
[2]	2.05209961E+1	Memory:0x1f02	double	
[3]	2.0520925522E+1	Memory:0x1f06	double	
[4]	2.0521017E+1	Memory:0x1f0a	double	
[5]	2.0520538333E+1	Memory:0x1f0e	double	
[6]	2.0520620344E+1	Memory:0x1f12	double	
[7]	2.05208129E+1	Memory:0x1f16	double	
[8]	2.0520904544E+1	Memory:0x1f1a	double	
[9]	2.05205993E+1	Memory:0x1f1e	double	
[10]	2.05205288E+1	Memory:0x1f22	double	
[11]	2.0520914E+1	Memory:0x1f26	double	
[12]	2.0520956033E+1	Memory:0x1f2a	double	
[13]	2.05208034E+1	Memory:0x1f2e	double	
[14]	2.0520437244E+1	Memory:0x1f32	double	
[15]	2.0520406722E+1	Memory:0x1f36	double	
[16]	2.0521026611E+1	Memory:0x1f3a	double	
[17]	2.05211181E+1	Memory:0x1f3e	double	
[18]	2.0520904544E+1	Memory:0x1f42	double	
[19]	2.05207004E+1	Memory:0x1f46	double	
[20]	2.05207309E+1	Memory:0x1f4a	double	
[21]	2.0520956033E+1	Memory:0x1f4e	double	
[22]	2.05208034E+1	Memory:0x1f52	double	
[23]	2.0521005633E+1	Memory:0x1f56	double	
[24]	2.05205993E+1	Memory:0x1f5a	double	
[25]	2.0520568844E+1	Memory:0x1f5e	double	
[26]	2.05207309E+1	Memory:0x1f62	double	
[27]	2.0520589822E+1	Memory:0x1f66	double	
[28]	2.0521036144E+1	Memory:0x1f6a	double	
[29]	2.0520904544E+1	Memory:0x1f6e	double	
[30]	2.05208644E+1	Memory:0x1f72	double	
[31]	2.05205783E+1	Memory:0x1f76	double	
[32]	2.05207004E+1	Memory:0x1f7a	double	
[33]	2.0520874022E+1	Memory:0x1f7e	double	
[34]	2.0521108622E+1	Memory:0x1f82	double	
[35]	2.0520975111E+1	Memory:0x1f86	double	
[36]	2.0520589822E+1	Memory:0x1f8a	double	
[37]	2.05206089E+1	Memory:0x1f8e	double	
[38]	2.0521005633E+1	Memory:0x1f92	double	
[39]	2.0521209711E+1	Memory:0x1f96	double	
[40]	2.0520559311E+1	Memory:0x1f9a	double	
[41]	2.05206813E+1	Memory:0x1f9e	double	
[42]	2.0520792E+1	Memory:0x1fa2	double	
[43]	2.05208644E+1	Memory:0x1fa6	double	
[44]	2.0520914E+1	Memory:0x1faa	double	
[45]	2.0520559311E+1	Memory:0x1fae	double	
[46]	2.0520822522E+1	Memory:0x1fb2	double	
[47]	2.0521017E+1	Memory:0x1fb6	double	
[48]	2.05210971E+1	Memory:0x1fba	double	
[49]	2.0520925522E+1	Memory:0x1fbe	double	
[50]	2.0521158211E+1	Memory:0x1fc2	double	
[51]	2.05207309E+1	Memory:0x1fc6	double	
[52]	2.05208644E+1	Memory:0x1fca	double	
[53]	2.0520935E+1	Memory:0x1fce	double	
[54]	2.0520925522E+1	Memory:0x1fd2	double	
[55]	2.05208435E+1	Memory:0x1fd6	double	
[56]	2.0520559311E+1	Memory:0x1fda	double	
[57]	2.05204982E+1	Memory:0x1fde	double	
[58]	2.0521057122E+1	Memory:0x1fe2	double	
[59]	2.0520822522E+1	Memory:0x1fe6	double	
[60]	2.05210476E+1	Memory:0x1fea	double	
[61]	2.0520517344E+1	Memory:0x1fee	double	
[62]	2.0520589822E+1	Memory:0x1ff2	double	
[63]	2.0520895E+1	Memory:0x1ff6	double	
[64]	2.0520904544E+1	Memory:0x1ffa	double	
[65]	2.0520975111E+1	Memory:0x1ffe	double	
[66]	2.05211696E+1	Memory:0x2002	double	
[67]	2.0520568844E+1	Memory:0x2006	double	
[68]	2.05209865E+1	Memory:0x200a	double	
[69]	2.05210781E+1	Memory:0x200e	double	
[70]	2.0520792E+1	Memory:0x2012	double	
[71]	2.05208034E+1	Memory:0x2016	double	
[72]	2.0521087644E+1	Memory:0x201a	double	
[73]	2.05210971E+1	Memory:0x201e	double	
[74]	2.05211696E+1	Memory:0x2022	double	
[75]	2.0520874022E+1	Memory:0x2026	double	
[76]	2.05207614E+1	Memory:0x202a	double	
[77]	2.05208435E+1	Memory:0x202e	double	
[78]	2.0521087644E+1	Memory:0x2032	double	
[79]	2.0521087644E+1	Memory:0x2036	double	
[80]	2.0520669933E+1	Memory:0x203a	double	
[81]	2.05209655E+1	Memory:0x203e	double	
[82]	2.05207309E+1	Memory:0x2042	double	
[83]	2.0521026611E+1	Memory:0x2046	double	
[84]	2.0521158211E+1	Memory:0x204a	double	
[85]	2.05210666E+1	Memory:0x204e	double	
[86]	2.0521158211E+1	Memory:0x2052	double	
[87]	2.0520721433E+1	Memory:0x2056	double	
[88]	2.0520620344E+1	Memory:0x205a	double	
[89]	2.05208644E+1	Memory:0x205e	double	
[90]	2.05210971E+1	Memory:0x2062	double	
[91]	2.05210971E+1	Memory:0x2066	double	
[92]	2.05208034E+1	Memory:0x206a	double	
[93]	2.0520742411E+1	Memory:0x206e	double	
[94]	2.0521158211E+1	Memory:0x2072	double	
[95]	2.0521017E+1	Memory:0x2076	double	
[96]	2.05209865E+1	Memory:0x207a	double	
[97]	2.05211277E+1	Memory:0x207e	double	
